user_id,usage_1_person,usage_2_people,usage_3-4_people,usage_5_or_more_people,avg_lunch_price,avg_dinner_price
U0111,6,24,15,9,985,3996
U0112,37,1,15,9,867,7494
U0113,10,25,16,5,1715,3604
U0114,15,3,18,8,1780,2414
U0115,6,9,1,10,1703,5967
U0116,7,10,12,10,875,6649
U0117,32,4,4,10,1311,5269
U0118,22,3,16,10,1699,2141
U0119,16,2,16,3,2519,5785
U0120,33,13,12,0,1392,7427
U0121,26,4,12,7,2981,7756
U0122,2,9,2,6,1310,4187
U0123,17,18,13,5,2692,7669
U0124,29,21,18,9,1703,5580
U0125,16,9,20,2,2854,3692
U0126,23,16,5,5,1205,5216
U0127,15,8,18,2,1942,4746
U0128,48,6,19,3,2432,3554
U0129,21,27,14,0,1939,3394
U0130,12,13,5,5,2684,2260
U0131,18,8,6,8,1246,2312
U0132,9,25,9,1,2763,2911
U0133,36,7,9,5,1161,7380
U0134,26,9,19,1,2918,6006
U0135,13,22,2,1,1282,5465
U0136,4,18,18,1,2054,7726
U0137,4,8,19,9,2765,7493
U0138,10,19,6,8,2275,7889
U0139,23,29,17,0,1199,6968
U0140,43,13,7,3,2873,6261
U0141,39,0,6,10,1141,5773
U0142,34,21,14,1,1138,7554
U0143,14,25,11,0,2961,3904
U0144,47,3,13,7,2001,6211
U0145,38,22,14,7,879,6900
U0146,40,12,2,10,2064,3006
U0147,48,1,2,0,1852,6271
U0148,44,11,12,4,1833,2383
U0149,41,28,1,5,1872,4570
U0150,7,0,13,3,1962,6490
U0151,49,30,3,1,2524,6057
U0152,22,16,9,2,877,7200
U0153,28,19,9,0,1508,2644
U0154,38,18,1,3,2451,5763
U0155,28,14,1,2,2930,3280
U0156,38,14,18,10,1080,4780
U0157,3,28,2,3,1080,6302
U0158,23,25,16,0,2338,3086
U0159,3,14,17,4,1849,2177
U0160,45,18,3,10,1427,6655
U0161,10,6,2,9,1966,4250
U0162,24,27,6,5,2468,7656
U0163,5,8,19,0,2450,3025
U0164,48,12,15,3,1626,5594
U0165,24,5,11,3,1414,6998
U0166,24,4,19,10,2731,2902
U0167,31,27,20,2,2996,5210
U0168,36,23,1,9,1044,7088
U0169,1,27,17,7,901,5315
U0170,26,29,1,0,1137,7408
U0171,45,28,5,9,1454,3138
U0172,43,24,5,2,2392,3454
U0173,18,26,12,3,1049,7998
U0174,34,21,12,0,1083,7350
U0175,21,5,5,2,1074,7618
U0176,6,2,19,7,1360,3548
U0177,0,1,15,0,2519,4029
U0178,50,12,7,2,2872,5813
U0179,36,21,6,1,2070,6899
U0180,16,22,1,3,2711,3254
U0181,8,5,20,0,2451,7862
U0182,18,7,1,8,986,5008
U0183,23,13,11,10,876,3487
U0184,14,21,9,9,1064,5946
U0185,48,18,13,8,1294,2372
U0186,15,28,5,3,2289,2827
U0187,50,10,5,1,2826,6195
U0188,27,13,2,0,2298,6009
U0189,3,7,15,7,1112,2135
U0190,40,3,10,10,1991,2495
U0191,49,4,17,2,819,2974
U0192,7,1,7,1,2192,3676
U0193,14,4,20,2,1365,4396
U0194,40,30,13,8,2842,4590
U0195,41,24,18,10,2561,4880
U0196,6,16,12,0,1797,5718
U0197,5,6,5,5,1446,5812
U0198,1,23,10,4,1160,6925
U0199,37,11,3,6,2367,6140
U0200,49,21,17,7,2858,4252
U0201,2,6,15,0,1600,7928
U0202,20,6,2,2,2518,4203
U0203,6,22,3,7,1191,3295
U0204,14,17,2,9,1807,7914
U0205,29,7,7,0,1742,6935
U0206,48,18,16,0,2439,2626
U0207,18,3,0,10,2235,4450
U0208,13,25,15,10,966,4679
U0209,18,25,13,9,2779,6077
U0210,4,22,3,7,1575,7937
U0211,13,16,12,0,1555,2360
U0212,7,2,5,6,2718,4352
U0213,33,18,8,3,2591,3343
U0214,36,11,15,10,2201,6363
U0215,50,20,13,3,2715,6866
U0216,46,17,12,1,1254,2151
U0217,6,29,2,6,1942,5491
U0218,47,14,1,9,1089,2703
U0219,41,18,7,7,1210,2613
U0220,7,11,12,8,2752,6386
U0221,50,18,17,2,2601,4079
U0222,21,29,8,5,1544,6361
U0223,30,20,5,5,2979,4324
U0224,41,30,9,10,1401,3796
U0225,25,7,14,9,2066,7704
U0226,22,4,1,8,2432,5151
U0227,28,16,2,3,2377,7398
U0228,32,27,14,0,1311,6014
U0229,42,3,2,10,2713,4937
U0230,2,10,10,4,2795,6963
U0231,50,9,16,8,2063,4220
U0232,0,20,8,3,2019,7375
U0233,13,25,1,3,2067,5931
U0234,50,20,17,5,2890,7968
U0235,46,5,16,9,1262,4262
U0236,38,20,13,3,2394,2023
U0237,24,4,11,6,2819,7563
U0238,20,21,11,8,1961,3544
U0239,9,6,11,8,1497,2181
U0240,50,5,18,5,2224,2957
U0241,4,1,8,4,1296,2866
U0242,39,11,18,7,2608,4685
U0243,0,25,19,9,1284,4887
U0244,30,1,3,8,1006,5731
U0245,45,8,3,9,2533,2821
U0246,25,1,5,6,2834,2170
U0247,32,25,1,1,2489,7210
U0248,8,19,0,7,2633,7931
U0249,46,21,10,1,1455,4629
U0250,21,23,15,9,1746,2677
U0251,22,8,2,7,2473,3669
U0252,33,20,13,6,1280,5743
U0253,26,27,3,3,1739,2498
U0254,47,29,20,0,2197,4289
U0255,27,17,18,3,2997,2713
U0256,8,7,14,4,983,4405
U0257,11,24,18,2,899,5319
U0258,4,25,10,0,1682,3363
U0259,37,9,14,6,2051,6831
U0260,8,1,6,6,2195,4854
U0261,40,15,7,3,2283,4476
U0262,10,28,20,8,810,2022
U0263,48,27,0,8,2582,7743
U0264,4,27,15,1,1498,3438
U0265,3,20,1,6,1490,5323
U0266,29,15,2,7,1013,4883
U0267,12,16,6,7,2968,6731
U0268,45,23,14,1,2766,7805
U0269,1,29,8,0,845,7236
U0270,50,30,2,6,1240,3487
U0271,11,3,1,5,2967,2554
U0272,39,30,12,4,1076,6246
U0273,4,29,4,0,1085,6224
U0274,26,28,7,7,1662,7299
U0275,38,20,17,7,2995,6823
U0276,14,4,13,8,2470,7270
U0277,4,5,15,5,1728,2313
U0278,42,25,19,6,1846,6794
U0279,12,8,10,10,1995,5099
U0280,43,21,8,9,1352,5907
U0281,33,15,11,9,2938,3448
U0282,47,3,13,10,1858,4433
U0283,24,28,8,2,2815,5276
U0284,29,27,20,2,812,2850
U0285,46,26,0,3,1018,6514
U0286,9,13,6,6,1505,7194
U0287,19,12,7,1,1762,4922
U0288,49,20,18,0,2917,4377
U0289,26,8,7,10,989,2207
U0290,4,6,14,3,2851,6590
U0291,11,29,17,6,2763,6890
U0292,13,25,2,10,1042,6730
U0293,9,4,0,10,1113,7620
U0294,19,18,6,5,842,2806
U0295,31,25,14,2,1654,7826
U0296,44,12,11,1,996,7358
U0297,34,24,9,10,1020,7072
U0298,2,25,18,2,2526,6796
U0299,25,15,15,7,1560,4433
U0300,31,4,8,4,2988,4984
U0301,40,26,20,3,2979,5371
U0302,37,2,11,7,1316,3765
U0303,30,10,5,8,1810,2169
U0304,50,24,0,3,1924,3874
U0305,19,18,17,8,1418,7084
U0306,24,11,11,1,1689,3272
U0307,7,6,0,5,1618,4781
U0308,5,2,0,7,2562,7205
U0309,50,19,10,2,2491,5140
U0310,39,6,8,6,2602,6614
U0311,1,29,4,2,2725,7848
U0312,26,14,7,9,2042,2724
U0313,29,2,19,2,2537,7162
U0314,21,17,0,9,1727,6856
U0315,18,14,20,0,1737,7341
U0316,21,28,14,3,1694,2711
U0317,17,30,8,8,1885,6889
U0318,11,7,19,9,1834,5550
U0319,33,4,14,4,2232,4078
U0320,42,16,6,6,1830,6362
U0321,22,2,15,2,2426,3697
U0322,49,15,14,6,1983,5954
U0323,44,18,7,0,1899,4930
U0324,17,1,0,7,2655,3484
U0325,1,15,6,5,1894,7679
U0326,46,7,20,6,2408,3841
U0327,35,6,15,6,1708,6019
U0328,48,29,6,10,992,7832
U0329,22,23,6,8,1848,6735
U0330,40,1,15,10,1808,7491
U0331,32,8,8,10,1190,7886
U0332,33,18,5,9,1306,4120
U0333,47,29,12,8,2303,7931
U0334,27,16,1,6,2075,4939
U0335,46,18,17,5,2573,5719
U0336,31,28,0,10,1108,6839
U0337,30,27,12,7,1983,4214
U0338,4,20,0,2,840,6355
U0339,43,2,16,6,1451,2313
U0340,5,15,19,1,1275,7085
U0341,45,28,17,6,2724,5337
U0342,39,19,14,10,1905,4302
U0343,10,22,3,7,1703,7780
U0344,43,9,3,0,1282,3139
U0345,32,0,9,6,2242,2718
U0346,6,12,14,7,1956,5728
U0347,14,28,13,4,2333,5028
U0348,39,13,0,8,2237,2662
U0349,35,0,3,1,1821,5890
U0350,7,4,13,9,1598,2680
U0351,16,14,6,7,1983,7866
U0352,25,3,9,10,2303,5687
U0353,45,30,19,6,1836,5472
U0354,16,28,14,7,1336,6703
U0355,7,14,1,0,1890,2773
U0356,8,1,16,1,2454,2815
U0357,2,27,18,0,1947,6052
U0358,10,5,5,3,2267,3697
U0359,40,17,18,6,1909,4111
U0360,38,6,2,2,2079,2306
U0361,23,5,10,8,920,5887
U0362,48,2,13,9,2452,3616
U0363,20,1,19,8,963,5026
U0364,5,22,12,7,2869,7449
U0365,39,8,10,8,1650,6488
U0366,7,17,4,8,2518,3046
U0367,4,27,12,6,1749,4844
U0368,18,15,11,0,1023,6547
U0369,27,7,18,7,1804,3356
U0370,42,8,19,2,2311,6336
U0371,7,17,5,5,2358,6924
U0372,37,22,14,8,894,4387
U0373,38,18,11,2,1200,7894
U0374,40,23,11,5,2619,5652
U0375,46,0,16,9,1539,5990
U0376,21,17,7,7,1735,3165
U0377,37,5,18,1,2200,2163
U0378,19,22,14,5,1891,5226
U0379,18,16,14,6,1034,7422
U0380,32,2,15,9,1805,7355
U0381,46,22,7,4,1325,6031
U0382,40,28,16,3,2849,7368
U0383,7,17,20,8,1971,5225
U0384,0,18,20,9,2848,7604
U0385,32,25,15,10,2925,2636
U0386,38,27,6,5,1860,2925
U0387,1,2,1,3,1493,7558
U0388,31,17,2,7,1633,5750
U0389,20,30,1,6,2403,2468
U0390,15,4,9,1,2245,2580
U0391,27,18,16,7,1545,4577
U0392,16,25,14,1,2236,5179
U0393,39,22,6,7,1514,6874
U0394,11,9,14,0,1440,4801
U0395,33,15,3,1,951,2166
U0396,30,11,16,5,823,2731
U0397,48,2,8,7,2265,2229
U0398,50,8,3,4,2217,5059
U0399,2,11,3,0,2899,7637
U0400,31,19,4,3,883,3270
U0401,17,10,9,3,2392,3790
U0402,4,10,7,8,1466,6944
U0403,29,24,16,7,2750,6915
U0404,46,3,15,4,975,7668
U0405,16,5,4,1,2694,7403
U0406,10,23,14,9,2867,6984
U0407,15,12,12,7,2633,3812
U0408,28,30,8,5,873,3863
U0409,43,21,5,8,2287,3154
U0410,6,13,13,0,2063,3521
U0411,6,7,8,1,1668,2473
U0412,31,13,6,8,2651,5760
U0413,33,11,14,10,2850,5532
U0414,19,23,15,10,2815,7024
U0415,45,27,16,9,1624,5937
U0416,35,25,13,5,1452,6171
U0417,48,21,18,7,1026,7707
U0418,12,2,5,6,1351,3524
U0419,44,12,11,2,1950,4210
U0420,1,16,4,9,2521,6992
U0421,45,18,11,3,1298,2672
U0422,12,29,2,0,2910,3227
U0423,29,24,6,5,2778,7600
U0424,46,1,17,1,1525,4069
U0425,24,5,11,9,2124,2744
U0426,10,22,9,10,1568,7294
U0427,14,13,14,10,1540,7904
U0428,23,15,8,2,2913,4549
U0429,21,14,17,2,1694,7373
U0430,0,14,1,9,923,3867
U0431,38,29,13,9,1027,5922
U0432,1,15,12,2,2786,7396
U0433,20,22,8,7,1163,7633
U0434,31,17,13,10,996,2000
U0435,30,10,11,5,1684,4897
U0436,47,26,9,0,2000,3408
U0437,6,14,20,2,1675,5084
U0438,15,7,13,8,1424,6046
U0439,30,9,1,2,2115,2846
U0440,7,14,4,8,2745,7905
U0441,12,4,19,2,1414,6519
U0442,9,16,19,1,1370,5447
U0443,23,12,15,10,1853,2928
U0444,36,29,20,5,2324,6715
U0445,25,21,18,3,2256,7409
U0446,22,4,12,8,956,6343
U0447,21,16,3,8,2356,3045
U0448,20,9,5,2,2408,4272
U0449,0,0,10,4,2497,6615
U0450,0,15,12,3,1387,4071
U0451,4,21,3,7,1753,7442
U0452,31,17,13,3,2443,3910
U0453,41,18,8,2,2578,4923
U0454,14,22,9,2,1707,5783
U0455,41,22,17,5,2783,5469
U0456,24,12,11,9,1575,4360
U0457,28,7,7,4,1749,7593
U0458,50,8,3,4,2295,6723
U0459,0,3,2,3,1690,3215
U0460,30,25,16,1,2484,7395
U0461,14,29,18,9,1293,2848
U0462,27,16,14,7,2241,5162
U0463,5,12,17,5,2349,2045
U0464,11,11,13,0,1014,7120
U0465,5,25,19,5,1011,6721
U0466,20,21,1,10,2281,2051
U0467,23,6,6,2,1342,4758
U0468,44,7,19,2,2284,2220
U0469,28,26,19,1,2388,6925
U0470,35,7,8,3,921,7400
U0471,29,21,5,1,2664,7026
U0472,8,15,8,6,1643,6927
U0473,17,21,17,1,1921,3386
U0474,3,15,11,7,1941,2007
U0475,46,15,3,6,2955,6084
U0476,25,4,12,10,1137,3860
U0477,39,1,0,1,1627,4764
U0478,43,25,19,5,1426,5925
U0479,25,18,7,6,1103,7550
U0480,23,5,18,6,1550,5113
U0481,33,11,6,9,1906,5363
U0482,29,26,3,7,1114,4970
U0483,19,13,8,3,1353,3466
U0484,14,16,2,0,1109,2598
U0485,49,27,15,8,2616,3490
U0486,36,20,14,8,1682,5059
U0487,18,16,13,3,2954,5391
U0488,20,27,2,5,2152,7765
U0489,36,18,2,10,2555,5902
U0490,46,18,13,6,2338,5199
U0491,5,10,20,9,2001,4109
U0492,39,12,20,2,2083,6000
U0493,1,16,11,9,1137,5999
U0494,44,10,0,2,2316,6566
U0495,47,28,13,4,1198,3018
U0496,39,13,18,8,1855,3749
U0497,40,8,11,5,2767,6321
U0498,28,23,11,8,2810,7095
U0499,10,18,20,0,2634,4219
U0500,30,8,17,6,1955,6946
U0501,18,1,14,10,1746,7630
U0502,17,8,19,3,1580,2951
U0503,19,7,12,9,2307,3273
U0504,12,29,9,9,1517,4132
U0505,39,23,7,8,972,6690
U0506,45,5,3,4,2269,3454
U0507,44,18,13,5,2432,3294
U0508,26,26,4,8,2029,3795
U0509,43,18,18,1,2596,4195
U0510,27,19,20,5,1936,4938
U0511,35,0,2,4,1473,2604
U0512,20,18,8,2,1629,4842
U0513,12,21,8,7,2693,7126
U0514,43,10,8,7,2042,5531
U0515,50,30,18,7,1497,5348
U0516,36,27,15,9,1483,7548
U0517,14,23,4,9,1813,7736
U0518,3,24,15,4,1016,3147
U0519,9,20,5,7,2570,7681
U0520,35,14,8,5,1590,4148
U0521,6,28,11,3,2083,4486
U0522,16,15,6,0,1569,3948
U0523,25,16,20,2,2894,5893
U0524,13,3,15,6,1676,4322
U0525,33,9,1,5,2831,7737
U0526,5,26,17,0,2679,7841
U0527,50,29,15,3,2525,3795
U0528,24,9,4,3,1483,7839
U0529,38,12,0,4,1603,4895
U0530,23,25,20,7,2468,4435
U0531,26,0,5,9,2105,2214
U0532,29,12,3,3,1147,7674
U0533,38,6,9,9,2417,2050
U0534,40,19,6,5,2218,4541
U0535,8,10,0,9,815,4554
U0536,29,28,17,10,1491,5158
U0537,41,4,19,7,2677,4155
U0538,14,18,6,4,806,3506
U0539,17,12,19,2,1838,3853
U0540,22,5,17,7,1660,7368
U0541,20,1,16,7,2640,4563
U0542,50,20,3,8,921,5845
U0543,48,30,16,8,1187,2493
U0544,3,8,7,1,1571,3840
U0545,48,1,15,10,2327,7951
U0546,25,3,16,3,1653,4859
U0547,41,10,13,2,2460,4746
U0548,50,26,2,1,2168,2576
U0549,46,5,8,1,2237,4424
U0550,24,15,17,0,2788,7302
U0551,35,19,14,2,1626,4003
U0552,36,16,20,3,945,4636
U0553,2,1,4,6,1835,4950
U0554,21,5,8,5,1446,4979
U0555,38,11,2,7,1814,5853
U0556,46,17,1,8,1472,7998
U0557,1,12,8,0,1676,7349
U0558,20,2,16,6,2375,6479
U0559,30,16,3,6,1596,4933
U0560,6,11,12,9,1986,7214
U0561,1,26,17,7,856,6859
U0562,47,8,5,1,1220,6227
U0563,50,13,8,5,2516,3989
U0564,26,29,6,5,1191,5229
U0565,1,9,0,5,999,5963
U0566,27,11,3,7,1890,5994
U0567,12,21,15,1,883,4372
U0568,42,14,10,4,922,6804
U0569,36,5,19,1,2627,4039
U0570,22,29,15,3,1197,3971
U0571,36,22,16,6,2397,2262
U0572,8,10,8,6,1015,3790
U0573,25,1,1,10,1024,2167
U0574,34,10,16,4,1721,4613
U0575,31,14,18,10,1572,3409
U0576,46,10,11,7,1505,4780
U0577,24,2,4,1,978,6947
U0578,18,8,3,3,1764,2544
U0579,25,0,15,7,2213,4658
U0580,45,9,13,7,2157,7748
U0581,50,7,13,6,1423,5323
U0582,43,16,11,5,2031,2179
U0583,43,29,12,5,1455,4882
U0584,40,11,16,4,830,6408
U0585,0,1,1,0,2094,3537
U0586,23,17,20,4,2355,5161
U0587,48,0,6,9,1010,4927
U0588,42,9,8,1,2914,7063
U0589,1,26,15,7,2154,4685
U0590,11,11,9,2,2656,7625
U0591,11,13,18,1,1195,5100
U0592,49,1,16,9,2333,2654
U0593,40,28,2,9,1996,4074
U0594,38,8,14,3,2457,6915
U0595,36,15,3,0,1302,7053
U0596,9,13,12,1,2460,5521
U0597,5,4,2,6,2015,7804
U0598,21,8,10,8,925,5217
U0599,31,13,2,10,1897,4800
U0600,1,25,6,2,2226,4278
U0601,14,24,0,3,1589,3042
U0602,29,10,9,1,1915,6024
U0603,34,28,7,6,2253,3158
U0604,39,28,15,10,2426,3195
U0605,9,25,7,0,1677,3047
U0606,1,24,9,6,1960,3420
U0607,12,8,15,9,2028,7007
U0608,32,4,9,5,810,3518
U0609,46,3,8,2,855,2903
U0610,14,26,12,0,1115,5134
U0611,50,27,17,8,2380,3129
U0612,42,2,15,4,2750,4802
U0613,38,19,6,7,1610,3381
U0614,14,9,13,3,934,4254
U0615,30,26,2,7,1968,4128
U0616,0,19,8,10,1881,6763
U0617,11,25,0,7,899,6659
U0618,4,29,11,7,1367,7159
U0619,31,14,16,0,1999,4068
U0620,11,13,5,4,1550,5575
U0621,23,13,14,5,1224,6554
U0622,19,7,4,3,2660,2846
U0623,21,12,8,2,1322,2496
U0624,34,29,3,10,972,7681
U0625,12,18,18,0,1680,2653
U0626,16,15,12,1,1999,3330
U0627,37,20,10,7,2291,6806
U0628,29,23,12,2,1346,5099
U0629,18,24,3,6,1458,6578
U0630,46,8,5,3,2580,5076
U0631,29,30,14,7,1373,3920
U0632,28,14,14,6,2696,6559
U0633,49,3,19,4,2696,3692
U0634,34,22,13,7,2554,7286
U0635,29,6,0,8,2810,2432
U0636,11,17,14,4,2402,3276
U0637,36,30,15,10,1436,5857
U0638,33,17,2,6,863,5636
U0639,41,12,1,1,1671,4704
U0640,50,20,18,4,1503,7908
U0641,45,2,2,7,2524,4190
U0642,43,10,18,6,2398,7073
U0643,16,13,10,4,2824,4484
U0644,37,11,2,6,893,6353
U0645,12,22,13,1,1594,3835
U0646,49,27,0,4,928,6855
U0647,11,18,0,1,2776,7495
U0648,8,27,4,4,2436,4051
U0649,50,12,6,4,1438,3462
U0650,45,7,11,0,1134,7242
U0651,34,13,9,3,1709,5529
U0652,33,1,10,3,1422,4099
U0653,37,18,4,5,952,4654
U0654,39,9,5,3,2447,3493
U0655,1,27,16,8,1497,7311
U0656,36,21,13,6,2883,5797
U0657,41,18,13,0,2253,7297
U0658,47,23,4,8,2799,2902
U0659,23,19,0,6,2628,3809
U0660,26,10,19,3,1882,6433
U0661,5,23,5,6,2954,6725
U0662,5,8,17,0,2602,4214
U0663,38,7,13,10,922,2198
U0664,16,13,18,8,2584,2825
U0665,46,3,9,10,2283,6858
U0666,47,0,8,4,2094,7093
U0667,42,5,14,6,2519,5402
U0668,1,27,15,9,2622,5867
U0669,29,5,3,9,2128,3867
U0670,30,8,0,0,1616,6045
U0671,8,4,17,8,2787,5341
U0672,45,25,13,4,2360,2240
U0673,43,27,14,8,976,6166
U0674,3,20,16,7,2054,4735
U0675,35,20,9,10,2687,6507
U0676,49,0,1,9,2031,2930
U0677,27,28,15,4,1519,6139
U0678,32,11,8,7,2518,4785
U0679,7,8,13,6,2528,5534
U0680,13,5,0,5,2702,2242
U0681,21,26,10,5,2850,7785
U0682,40,21,12,10,2394,3095
U0683,47,2,9,10,2184,5713
U0684,0,17,16,2,2844,4047
U0685,20,19,14,2,2752,7502
U0686,12,8,3,3,2626,6754
U0687,48,26,18,10,1022,6686
U0688,38,3,4,6,2519,7903
U0689,24,0,2,6,2326,4187
U0690,37,6,12,10,1551,6503
U0691,37,4,16,6,1617,7459
U0692,6,17,20,3,874,3487
U0693,29,3,2,8,1341,4639
U0694,30,9,20,0,839,6415
U0695,30,24,18,6,1520,4004
U0696,26,25,6,1,2893,3586
U0697,47,6,16,6,1573,7387
U0698,41,13,8,3,2529,3596
U0699,23,29,4,9,920,7978
U0700,22,5,13,6,2538,3203
U0701,1,14,17,5,2467,7664
U0702,3,2,10,7,2846,4409
U0703,16,15,17,4,1948,4953
U0704,6,6,5,3,896,4029
U0705,3,0,6,6,1203,5372
U0706,12,27,6,2,2027,3598
U0707,30,24,13,2,2534,3344
U0708,38,18,9,3,1370,7487
U0709,4,2,2,6,2654,3263
U0710,40,21,18,1,1416,2894
U0711,32,21,10,3,2113,6243
U0712,42,9,0,2,1126,2175
U0713,34,21,12,0,850,4462
U0714,50,7,6,9,2677,4595
U0715,50,16,10,6,1541,3059
U0716,22,3,20,5,2366,4195
U0717,46,29,17,2,2619,7489
U0718,44,22,14,4,2661,4184
U0719,30,11,7,4,2679,4603
U0720,19,25,17,2,1446,2886
U0721,29,2,3,7,957,7285
U0722,33,27,13,3,1678,2095
U0723,34,28,20,7,2309,5384
U0724,47,1,16,1,1565,5364
U0725,0,20,18,0,1368,6182
U0726,39,3,14,7,2730,3534
U0727,41,20,3,5,1239,4235
U0728,38,7,3,10,912,7486
U0729,24,16,17,7,2956,6835
U0730,42,23,7,1,1618,4774
U0731,3,4,16,9,2768,3859
U0732,36,9,12,0,2537,3251
U0733,10,29,5,10,1560,2633
U0734,18,20,12,5,1187,6643
U0735,1,23,2,2,1711,6635
U0736,12,26,8,6,862,6871
U0737,20,21,4,8,1731,2262
U0738,2,13,14,9,2519,7643
U0739,2,18,18,4,893,7146
U0740,1,23,19,6,1383,7188
U0741,30,28,4,5,1591,6067
U0742,45,15,19,2,1590,5105
U0743,5,28,13,5,2102,4029
U0744,44,4,19,8,2745,2273
U0745,20,6,17,2,1735,4417
U0746,50,30,17,0,1795,7657
U0747,5,18,3,3,1124,2757
U0748,39,10,5,2,2361,4101
U0749,27,27,17,1,2605,2368
U0750,26,8,14,5,1449,5610
U0751,49,11,17,7,2039,4250
U0752,43,22,14,9,1160,2561
U0753,0,10,3,5,1092,4877
U0754,0,30,17,6,1123,2713
U0755,36,24,10,7,1567,2063
U0756,34,3,3,5,2001,3210
U0757,2,5,9,5,1020,6815
U0758,43,14,9,2,2759,3931
U0759,32,26,20,2,1425,2172
U0760,37,1,14,0,1696,2623
U0761,17,11,8,10,1495,3736
U0762,37,18,8,6,882,5313
U0763,18,0,8,7,2677,4177
U0764,43,26,12,2,1389,4795
U0765,3,30,14,5,1636,2673
U0766,24,29,15,2,2510,5514
U0767,9,24,11,5,1551,3575
U0768,39,6,14,4,2213,7785
U0769,18,0,3,7,2574,6483
U0770,39,18,13,1,1730,3663
U0771,47,0,3,4,2444,7413
U0772,22,0,5,2,2523,3441
U0773,37,30,3,2,2581,7283
U0774,38,20,20,1,2754,3694
U0775,31,10,9,5,998,4267
